"ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","MES_NASC","ANO_NASC","COMPUTADOR","ESC_MAE","ESC_PAI","USO_TEMPO_TELAS","AFAZERES_DOM","TRABALHO","PERSPECTIVAS"
"1206",2017,"Centro-Oeste","GO",5201405,"Interior","Estadual","Urbana",374.129344,284.539599,"Feminino","Preta","Novembro","2002","Sim, um","Não sei","Não sei","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Somente continuar estudando"
"1175",2017,"Norte","PA",1500107,"Interior","Estadual","Urbana",244.845,252.47199,"Masculino","Parda","Agosto","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"79",2017,"Sul","RS",4320651,"Interior","Municipal","Rural",163.083309,238.676031,"Masculino","Branca","Outubro","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Não faço trabalhos domésticos","Sim","Somente trabalhar"
"52",2017,"Sudeste","SP",3548708,"Interior","Estadual","Urbana",236.107302,239.585511,"Masculino","Parda","Outubro","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Menos de 1 hora","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1362",2017,"Nordeste","BA",2932101,"Interior","Municipal","Urbana",271.350416,247.032269,"Feminino","Parda","Julho","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não sei","Entre 1 e 2 horas","Mais de 2 horas, até 3 horas","Não","Ainda não sei"
"1818",2017,"Norte","AM",1302603,"Capital","Estadual","Urbana",166.950532,234.511661,"Masculino","Não quero declarar","Outubro","2002","Não tem","Não sei","Não sei","Menos de 1 hora","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1648",2017,"Nordeste","SE",2803500,"Interior","Municipal","Urbana",276.41873,292.074499,"Masculino","Parda","Dezembro","2001","Sim, um","Não sei","Não sei","Entre 1 e 2 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"1013",2017,"Sul","PR",4110904,"Interior","Estadual","Urbana",293.851482,226.492733,"Masculino","Não quero declarar","Julho",NA,"Sim, um","Não sei","Não sei","Mais de 3 horas","Não faço trabalhos domésticos","Sim","Ainda não sei"
"267",2017,"Nordeste","MA",2109007,"Interior","Municipal","Urbana",276.589795,267.649831,"Feminino","Parda","Outubro","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Entre 1 e 2 horas","Menos de 1 hora","Não","Somente continuar estudando"
"783",2017,"Sudeste","MG",3145109,"Interior","Estadual","Urbana",305.794787,310.190153,"Masculino","Branca","Maio","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"14",2017,"Sudeste","SP",3500303,"Interior","Estadual","Urbana",269.799373,250.088183,"Feminino","Parda","Abril","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Mais de 3 horas","Não","Ainda não sei"
"1767",2017,"Norte","AP",1600105,"Interior","Estadual","Urbana",202.933826,181.773561,"Masculino","Parda","Abril","2001","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Menos de 1 hora",NA,"Sim","Continuar estudando e trabalhar"
"1296",2017,"Norte","PA",1502400,"Interior","Municipal","Urbana",241.085429,208.366013,"Masculino","Não quero declarar","Agosto","2001","Não tem","Não sei","Não sei","Menos de 1 hora","Entre 1 e 2 horas","Sim","Somente continuar estudando"
"1372",2017,"Norte","PA",1500206,"Interior","Municipal","Rural",184.550768,217.207788,"Masculino","Branca","Agosto","2001","Sim, um","Não sei","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Ainda não sei"
"1709",2017,"Nordeste","CE",2302909,"Interior","Municipal","Rural",184.946394,242.118216,NA,"Branca","Setembro","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Menos de 1 hora","Entre 1 e 2 horas","Sim","Somente continuar estudando"
"1164",2017,"Nordeste","PB",2507507,"Capital","Estadual","Urbana",209.514067,276.680299,"Masculino","Parda","Junho","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1160",2017,"Centro-Oeste","MS",5003702,"Interior","Municipal","Urbana",253.140352,249.147906,"Masculino","Branca","Outubro","2001","Não tem","Não sei","Não sei","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1771",2017,"Sul","PR",4115804,"Interior","Estadual","Urbana",292.748899,308.09978,"Masculino","Branca","Março","2003","Sim, quatro ou mais","Completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1361",2017,"Norte","PA",1505908,"Interior","Municipal","Rural",188.866782,141.88779,"Masculino","Parda","Agosto","2000","Não tem","Não sei","Nunca estudou","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Sim","Somente continuar estudando"
"841",2017,"Norte","PA",1506500,"Interior","Municipal","Urbana",252.963062,247.646806,"Feminino","Parda","Setembro","2000","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Mais de 2 horas, até 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"1261",2017,"Sudeste","ES",3205200,"Interior","Estadual","Urbana",343.658251,366.091927,"Feminino","Branca","Janeiro","2003","Sim, um","Não sei","Não sei","Mais de 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"850",2017,"Sudeste","SP",3519253,"Interior","Municipal","Rural",234.011551,300.154182,"Masculino","Parda","Novembro","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"565",2017,"Nordeste","MA",2101707,"Interior","Municipal","Rural",301.661407,211.584405,"Feminino","Parda","Setembro","2001","Não tem","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"41",2017,"Nordeste","PB",2500775,"Interior","Municipal","Urbana",208.667172,266.28863,"Masculino","Parda","Junho","2000","Sim, um","Nunca estudou","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Mais de 3 horas","Sim","Continuar estudando e trabalhar"
"576",2017,"Norte","TO",1721000,"Capital","Estadual","Urbana",210.941701,268.156216,"Masculino","Branca","Novembro","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Entre 1 e 2 horas","Mais de 3 horas","Sim","Somente continuar estudando"
"388",2017,"Nordeste","PB",2507507,"Capital","Municipal","Urbana",247.568485,181.008116,"Feminino","Parda","Outubro","2001","Não tem","Não sei","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Ainda não sei"
"140",2017,"Nordeste","BA",2905206,"Interior","Estadual","Urbana",239.002404,271.281603,"Feminino","Parda","Julho","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"528",2017,"Nordeste","PE",2608057,"Interior","Estadual","Rural",242.86252,218.050924,"Masculino","Não quero declarar","Abril","2000","Não tem","Não sei","Nunca estudou","Mais de 3 horas","Não faço trabalhos domésticos","Não","Somente trabalhar"
"98",2017,"Nordeste","CE",2307809,"Interior","Municipal","Rural",263.74588,240.474367,"Feminino","Branca","Junho","2002","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Entre 1 e 2 horas","Menos de 1 hora","Não","Somente continuar estudando"
"1181",2017,"Nordeste","PE",2604601,"Interior","Municipal","Urbana",253.908078,294.749674,NA,"Parda","Setembro","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"807",2017,"Sudeste","MG",3111507,"Interior","Estadual","Urbana",223.281788,235.310083,"Feminino","Preta","Abril","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Entre 1 e 2 horas","Não faço trabalhos domésticos","Sim","Continuar estudando e trabalhar"
"800",2017,"Nordeste","CE",2307700,"Interior","Municipal","Rural",274.649517,260.007785,"Masculino","Parda","Junho","2003","Sim, um","Não sei","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"665",2017,"Sudeste","MG",3119104,"Interior","Estadual","Urbana",287.303912,272.779126,"Masculino","Parda","Novembro","2001","Não tem","Não sei","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Mais de 3 horas","Não","Somente continuar estudando"
"1783",2017,"Nordeste","BA",2933307,"Interior","Estadual","Urbana",210.348346,281.3994,"Masculino","Preta","Maio","2000","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Sim","Continuar estudando e trabalhar"
"1133",2017,"Sul","RS",4309209,"Interior","Estadual","Urbana",254.388052,254.742281,"Feminino","Branca","Julho","2002","Sim, dois","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"1606",2017,"Sudeste","MG",3157807,"Interior","Estadual","Urbana",183.710319,284.347776,"Feminino","Não quero declarar","Setembro","2002","Sim, três","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1130",2017,"Sul","RS",4314050,"Interior","Municipal","Urbana",328.97879,284.417921,"Feminino","Branca","Dezembro","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1959",2017,"Sudeste","MG",3167202,"Interior","Estadual","Urbana",253.007081,320.741115,"Masculino","Parda","Fevereiro","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Entre 1 e 2 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"1277",2017,"Nordeste","BA",2922102,"Interior","Municipal","Rural",206.380522,210.825387,"Feminino",NA,"Maio","2003","Sim, um","Completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"838",2017,"Sudeste","ES",3201209,"Interior","Municipal","Urbana",279.555085,220.847217,"Masculino","Branca","Novembro","2000","Sim, dois","Não sei","Não sei","Mais de 3 horas","Não faço trabalhos domésticos","Não","Somente continuar estudando"
"36",2017,"Sudeste","MG",3131703,"Interior","Estadual","Urbana",214.712566,235.539801,"Masculino","Branca","Agosto","2002","Sim, dois","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a Faculdade","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Somente trabalhar"
"1724",2017,"Sul","SC",4204400,"Interior","Estadual","Urbana",309.392769,264.120119,"Feminino","Parda","Agosto","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Entre 1 e 2 horas","Entre 1 e 2 horas","Sim","Continuar estudando e trabalhar"
"1502",2017,"Sul","SC",4209300,"Interior","Estadual","Urbana",273.703895,212.568837,"Feminino","Branca","Agosto","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 2 horas, até 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"401",2017,"Sudeste","SP",3533908,"Interior","Estadual","Urbana",259.608368,267.536202,"Masculino","Parda","Fevereiro","2003","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1394",2017,"Sudeste","SP",3550308,"Capital","Estadual","Urbana",174.333759,237.080082,"Masculino","Não quero declarar","Abril","2003","Não tem","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Sim","Ainda não sei"
"1615",2017,"Sul","RS",4300604,"Interior","Estadual","Urbana",315.050417,248.431981,"Feminino","Parda","Setembro","2001","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não sei","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1441",2017,"Sudeste","SP",3541307,"Interior","Estadual","Urbana",215.934702,209.977277,"Masculino","Parda","Maio","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 2 horas, até 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"549",2017,"Nordeste","CE",2308104,"Interior","Municipal","Urbana",252.914855,246.538181,"Feminino","Branca","Julho","2002","Não tem","Completou a Faculdade","Não sei","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1992",2017,"Sudeste","SP",3522505,"Interior","Estadual","Urbana",284.709565,256.862947,"Feminino","Parda","Outubro","2003","Sim, um","Não sei","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"750",2017,"Sudeste","SP",3538709,"Interior","Estadual","Urbana",206.342562,213.218249,"Masculino","Amarela","Abril","2003","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Somente trabalhar"
"584",2017,"Sudeste","MG",3124104,"Interior","Estadual","Urbana",233.923291,217.258091,"Masculino","Branca","Março","2003","Não tem","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"860",2017,"Sudeste","SP",3548708,"Interior","Estadual","Urbana",315.245888,319.533338,"Feminino","Parda","Março","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1567",2017,"Sul","PR",4106902,"Capital","Municipal","Urbana",339.790587,307.963123,"Masculino","Branca","Maio","2002","Sim, dois","Não sei","Não sei","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"1064",2017,"Nordeste","SE",2804102,"Interior","Estadual","Urbana",310.714845,281.576579,"Feminino","Parda","Fevereiro","2003","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1088",2017,"Sudeste","SP",3518800,"Interior","Estadual","Urbana",245.769576,234.599301,NA,NA,NA,NA,NA,NA,"Não sei","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
"954",2017,"Norte","AC",1200609,"Interior","Estadual","Urbana",227.651628,238.483091,"Masculino","Branca","Agosto","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"760",2017,"Norte","AM",1302009,"Interior","Estadual","Urbana",308.139836,311.114947,"Masculino","Parda","Janeiro","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Ainda não sei"
"855",2017,"Nordeste","PI",2202802,"Interior","Municipal","Urbana",260.906313,314.506047,"Masculino","Parda","Junho","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1928",2017,"Nordeste","RN",2408102,"Capital","Estadual","Urbana",275.339176,291.821531,"Masculino","Parda","Agosto","2003","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Entre 1 e 2 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"166",2017,"Sudeste","SP",3538709,"Interior","Estadual","Urbana",368.972274,344.181631,"Masculino","Parda","Fevereiro","2003","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a Faculdade","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1085",2017,"Sul","RS",4307203,"Interior","Municipal","Rural",178.83676,208.205211,"Feminino","Amarela","Setembro","2000","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
"1761",2017,"Sudeste","MG",3117306,"Interior","Municipal","Urbana",242.681098,245.870324,"Masculino","Parda","Dezembro","2002","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Ainda não sei"
"1692",2017,"Sudeste","ES",3201308,"Interior","Estadual","Urbana",283.787468,219.421292,"Feminino","Branca","Fevereiro","2000","Sim, dois","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Mais de 2 horas, até 3 horas","Não","Somente trabalhar"
"1667",2017,"Sul","SC",4209102,"Interior","Estadual","Urbana",232.263108,239.315551,NA,"Parda","Setembro","2002","Não tem","Não sei","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
"869",2017,"Sudeste","SP",3531308,"Interior","Municipal","Urbana",280.604118,230.90778,"Feminino","Parda","Outubro","2002","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a Faculdade","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1308",2017,"Sudeste","SP",3548807,"Interior","Municipal","Urbana",305.165566,281.49464,"Feminino","Branca","Outubro","2001","Sim, dois","Completou a Faculdade","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Sim","Continuar estudando e trabalhar"
"1912",2017,"Sudeste","SP",3529401,"Interior","Estadual","Urbana",304.33316,272.473116,"Feminino","Branca","Janeiro","2003","Sim, dois","Completou a Faculdade","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Ainda não sei"
"1032",2017,"Sudeste","RJ",3304557,"Capital","Municipal","Urbana",306.937809,341.359068,"Masculino","Branca","Dezembro","2002","Sim, um","Não sei","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Menos de 1 hora","Não","Somente continuar estudando"
"432",2017,"Norte","RR",1400472,"Interior","Estadual","Urbana",179.189909,204.374462,"Masculino","Parda","Julho","2000","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Entre 1 e 2 horas","Menos de 1 hora","Não","Somente continuar estudando"
"414",2017,"Centro-Oeste","GO",5201108,"Interior","Estadual","Urbana",218.911562,220.480731,"Masculino","Parda","Janeiro","2002","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal","Mais de 2 horas, até 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"980",2017,"Centro-Oeste","GO",5205497,"Interior","Municipal","Urbana",282.249371,225.578391,"Feminino","Branca","Julho","2002","Não tem","Não sei","Completou a Faculdade","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"945",2017,"Nordeste","BA",2931905,"Interior","Municipal","Urbana",211.149183,202.329977,"Masculino","Não quero declarar","Junho","2000","Não tem","Não sei","Não sei","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1723",2017,"Nordeste","BA",2918209,"Interior","Estadual","Urbana",231.406792,227.287913,"Feminino","Parda","Junho","2001","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Menos de 1 hora","Menos de 1 hora","Não","Ainda não sei"
"1097",2017,"Sudeste","MG",3103702,"Interior","Estadual","Urbana",246.981465,233.154819,"Feminino","Branca","Outubro","2001","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não completou a 4.ª série/5.º ano do Ensino Fundametal",NA,"Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1790",2017,"Nordeste","CE",2306405,"Interior","Municipal","Rural",328.74828,286.332233,"Masculino","Parda","Setembro","2002","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Mais de 3 horas","Menos de 1 hora",NA,"Continuar estudando e trabalhar"
"319",2017,"Sudeste","MG",3156601,"Interior","Municipal","Urbana",233.274071,172.752707,"Feminino","Parda","Agosto","2002","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Menos de 1 hora","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1678",2017,"Nordeste","CE",2312106,"Interior","Municipal","Urbana",175.94535,206.531962,"Masculino","Preta","Dezembro","2002",NA,"Não sei","Não sei","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"1508",2017,"Sudeste","SP",3503208,"Interior","Estadual","Urbana",284.26116,205.668761,"Feminino","Branca","Outubro","2003","Sim, um","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"338",2017,"Norte","RO",1100304,"Interior","Estadual","Urbana",207.794217,163.271133,"Feminino","Parda","Setembro","2001","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Nunca estudou","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"56",2017,"Nordeste","CE",2312106,"Interior","Municipal","Urbana",244.492622,193.286207,"Feminino","Parda","Abril","2000","Não tem","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Menos de 1 hora","Mais de 3 horas","Não","Ainda não sei"
"1822",2017,"Sudeste","RJ",3303500,"Interior","Estadual","Urbana",266.10382,270.628725,"Feminino","Preta","Abril","2002","Sim, um","Nunca estudou","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"1735",2017,"Sudeste","MG",3152204,"Interior","Estadual","Urbana",211.360576,263.404194,"Feminino","Parda","Outubro","2002","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Não sei","Mais de 3 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
"1351",2017,"Sudeste","MG",3118601,"Interior","Municipal","Urbana",250.823731,312.059025,"Feminino","Branca","Janeiro","2003","Sim, um","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"963",2017,"Centro-Oeste","DF",5300108,"Capital","Estadual","Urbana",310.119561,287.834451,"Feminino","Parda","Junho","2003","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Entre 1 e 2 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
"591",2017,"Sudeste","SP",3556206,"Interior","Estadual","Urbana",271.669738,256.91353,"Feminino","Parda","Junho","2003","Sim, um","Completou a Faculdade","Completou a Faculdade","Mais de 2 horas, até 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"38",2017,"Sudeste","SP",3557006,"Interior","Estadual","Urbana",221.200361,323.072272,"Masculino","Preta","Janeiro","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Sim","Continuar estudando e trabalhar"
"392",2017,"Norte","AP",1600303,"Capital","Estadual","Urbana",239.170989,151.380319,"Feminino","Parda","Julho","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"375",2017,"Sul","RS",4314902,"Capital","Estadual","Urbana",289.933683,266.001623,NA,NA,NA,NA,NA,NA,"Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"1419",2017,"Sul","SC",4214201,"Interior","Estadual","Urbana",302.834345,291.351085,"Feminino","Branca","Fevereiro","2003","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
"194",2017,"Nordeste","RN",2408102,"Capital","Estadual","Urbana",267.775353,295.053169,"Masculino","Branca","Junho","2002","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 3 horas","Menos de 1 hora","Não","Continuar estudando e trabalhar"
"1791",2017,"Sudeste","SP",3541406,"Interior","Estadual","Urbana",166.218893,148.847055,"Masculino","Preta","Outubro","2003","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
